Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
4a,6642,Vaccinated,3738,72,600,91,1.176,1.676,0.454,0.219,0.526,1.399,1.691,1.26
4a,6917,Vaccinated,6308,52,2800,58,1.163,1.158,1.043,1.07,0.697,1.063,1.375,1.591
4a,6925,Vaccinated,3118,76,1700,75,1.32,1.699,1.29,1.516,0.533,1.485,1.749,1.876
4a,6937,Vaccinated,5694,57,3350,50,1.345,1.619,1.287,0.788,1.148,1.401,1.647,1.876
4b,6572,Vaccinated,3971,40,0,100,1.514,1.798,1.216,1.583,1.352,1.536,1.719,1.616
4b,6614,Vaccinated,29108,-341,600,55,1.175,1.531,1.411,1.612,1.139,1.291,1.562,1.821
4b,6621,Vaccinated,3905,41,400,70,0.93,1.528,1.007,0.967,1.025,1.28,1.556,1.674
4b,6636,Vaccinated,5110,23,3050,-128,1.032,1.493,1.204,0.749,0.839,1.301,1.581,1.679
4b,6855,Vaccinated,15507,-135,100,93,1.283,1.715,1.188,0.556,1.367,1.411,1.64,1.785
4b,6901,Vaccinated,1158,82,800,40,0.976,1.43,1.028,0.851,1.151,1.205,1.466,1.748
4b,6916,Vaccinated,3215,51,650,51,0.99,1.597,0.508,0.021,0.318,1.277,1.62,1.06
4b,6927,Vaccinated,2121,68,150,89,1.217,1.595,0.592,0.452,1.298,1.357,1.692,1.311
4b,6576,Vaccinated,2823,65,0,100,1.453,1.727,1.202,1.127,0.763,1.422,1.676,1.851
4b,6647,Vaccinated,1548,81,100,97,1.206,1.621,1.369,1.483,1.375,1.415,1.637,1.866
4b,6652,Vaccinated,5743,29,2250,37,0.705,1.343,0.104,0.308,0.82,1.16,1.436,1.388
4b,6905,Vaccinated,1491,82,200,94,1.333,1.695,1.108,1.293,0.988,1.414,1.593,1.491
4b,6910,Vaccinated,12287,-51,2150,40,1.257,1.639,1.124,0.726,1.247,1.403,1.592,1.541
4b,6911,Vaccinated,2365,71,650,82,1.001,1.528,0.705,0.142,0.382,1.265,1.542,1.386
4b,6928,Vaccinated,4087,50,1250,65,1.159,1.693,0.908,1.326,1.302,1.36,1.672,1.582
1,6453H,Control,212,89,2550,59,0.011,0.013,0.014,0.009,0.005,0.011,0.009,0.01
1,6462H,Control,2171,-10,4900,21,0.016,0.008,0.006,0.008,0.002,0.009,0.011,0.012
1,6468H,Control,4760,-141,8600,-38,0.08,0.039,0.01,0.013,0.003,0.017,0.01,0.015
1,6482H,Control,1441,27,5850,6,0.011,0.008,0.008,0.011,0.005,0.013,0.006,0.009
1,6484H,Control,1171,41,7550,-21,0.014,0.012,0.006,0.011,0.002,0.011,0.008,0.015
1,6492H,Control,1826,8,6100,2,0.012,0.017,0.011,0.01,0.004,0.014,0.012,0.012
1,6494H,Control,2244,-14,8050,-29,0.019,0.014,0.011,0.006,0.003,0.007,0.007,0.008
2a,637J,Control,1937,65,5550,11.2,0.014,0.032,0.009,0.028,0.039,0.005,0.01,0.009
2a,639J,Control,4623,17,8550,-36.8,0.011,0.037,0.004,0.023,0.02,0.015,0.022,0.011
2a,641J,Control,2670,52,2500,60,0.004,0.026,0.004,0.016,0.019,0.01,0.01,0.009
2a,643J,Control,5356,4,8100,-29.6,0.009,0.024,0.003,0.021,0.016,0.009,0.005,0.009
2a,648J,Control,1458,74,4050,35,0.005,0.026,0.073,0.032,0.024,0.039,0.007,0.015
2a,661J,Control,5787,-4,5500,12,0.008,0.031,0.015,0.052,0.024,0.014,0.011,0.002
2a,669J,Control,7062,-26,9500,-52,0.007,0.028,0.006,0.024,0.046,0.02,0.013,0.008
2b,642J,Control,16870,-1,5850,-12,0.015,0.028,0.023,0.029,0.02,0.009,0.021,0.004
2b,657J,Control,11770,30,4600,12,0.012,0.027,0.012,0.027,0.024,0.013,0.011,0.007
2b,658J,Control,7016,58,6250,-20,0.006,0.048,0.007,0.046,0.009,0.009,0.01,0.008
2b,659J,Control,14333,14,3200,39,0.006,0.028,0.004,0.034,0.006,0.01,0.008,0.02
2b,662J,Control,15198,9,1200,77,0.01,0.028,0.013,0.026,0.063,0.012,0.018,0.012
2b,671J,Control,23746,-42,5650,-8,0.019,0.044,0.01,0.042,0.031,0.009,0.013,0.012
2b,678J,Control,28156,-68,9800,-88,0.008,0.026,0.013,0.028,0.052,0.011,0.01,0.014
3,3018,Control,6820,42,9500,-188,0.011,0.035,-0.008,-0.006,0.012,0.012,0.008,0.01
3,3127,Control,10496,11,2600,21,0.008,0.018,-0.023,-0.004,0.016,0.014,0.016,0.018
3,3171,Control,12078,-2,4600,-39,0.01,0.035,-0.006,-0.01,0.009,0.012,0.012,0.012
3,3504,Control,16986,-44,4900,-48,0.005,0.017,0.008,-0.007,-0.003,0.005,-0.001,0.023
3,4022,Control,12108,-3,1700,48,0.014,0.021,0.038,-0.006,0.011,0.011,0.007,0.024
3,4079,Control,8882,25,1200,64,0.02,0.025,0.019,-0.009,0.004,0.011,0.012,0.019
3,4111,Control,14163,-20,8800,-167,0.01,0.036,0.007,-0.011,-0.006,0.003,0.006,0.004
3,4112,Control,593,95,0,100,0.016,0.035,0.023,-0.001,0.013,0.024,0.02,0.004
3,4162,Control,8706,26,0,100,0.027,0.026,0.025,-0.008,0.008,0.016,0.022,0.009
3,4171,Control,14949,-27,2500,24,0.005,0.01,0.02,-0.01,0.011,0.002,-0.002,0.002
3,4181,Control,13056,-11,1600,52,0.017,0.042,0.018,0,-0.008,0.022,0.012,0.013
3,4524,Control,22766,-93,2200,33,0.016,0.018,0.009,0.011,-0.007,0.004,0.019,0.009
5,6580,Control,10948,35,3700,70,0.088,0.071,0.106,0.081,0.073,0.103,0.08,0.061
5,6581,Control,14408,14,9500,24,0.083,0.071,0.073,0.057,0.064,0.082,0.082,0.063
5,6608,Control,7268,57,8500,32,0.091,0.075,0.068,0.057,0.077,0.079,0.087,0.064
5,6612,Control,17608,-5,10800,14,0.094,0.096,0.205,0.072,0.068,0.079,0.176,0.066
5,6616,Control,4446,73,3400,73,0.083,0.077,0.067,0.184,0.064,0.081,0.068,0.078
5,6617,Control,27979,-67,18400,-47,0.082,0.075,0.062,0.047,0.065,0.089,0.068,0.057
5,6856,Control,7164,57,10800,14,0.087,0.073,0.083,0.047,0.072,0.089,0.068,0.057
5,6860,Control,35937,-114,29600,-137,0.094,0.076,0.089,0.048,0.068,0.088,0.069,0.058
5,6864,Control,6230,63,8500,32,0.098,0.073,0.059,0.051,0.065,0.078,0.048,0.055
5,6887,Control,22712,-35,17400,-39,0.107,0.072,0.061,0.051,0.07,0.078,0.05,0.054
5,6895,Control,13917,17,12500,0,0.125,0.077,0.062,0.05,0.076,0.076,0.051,0.056
5,6897,Control,32566,-94,17000,-36,0.098,0.103,0.065,0.051,0.07,0.08,0.053,0.056
