TrialID19,Animal,Treatment,Sex,WeightGain,cFEC,Perc.cFECred,WormB,Perc.WormBred
4a,6912,Control,F,,1100,84,1900,63
4a,6588,Control,M,,3497,73,3500,48
4a,6625,Control,M,,19061,-44,4500,33
4a,6626,Control,M,,31913,-142,9800,-47
4a,6634,Control,M,,7085,46,4600,31
4a,6915,Control,F,,7432,44,3300,51
4a,6931,Control,F,,18028,-37,5600,16
4a,6935,Control,F,,10310,22,4500,33
4a,6940,Control,F,,8222,38,17550,-163
4b,6583,Control,M,,3521,-45,350,74
4b,6628,Control,M,,6342,-70,1300,3
4b,6632,Control,M,,369,3,200,85
4b,6644,Control,M,,8085,54,3950,-195
4b,6852,Control,F,,20230,81,550,59
4b,6933,Control,F,,3152,-7,1350,-1
4b,6936,Control,F,,5393,-12,400,70
4b,6942,Control,F,,5716,-5,2600,-94
4b,6595,Control,M,,11815,47,5450,-52
4b,6635,Control,M,,13863,4,3350,6
4b,6639,Control,M,,7928,94,10750,-200
4b,6653,Control,M,,3728,-22,1250,65
4b,6902,Control,F,,1512,-206,750,79
4b,6923,Control,F,,8682,52,2200,39
4b,6934,Control,F,,9080,18,1350,62
4b,6939,Control,F,,8531,13,3550,1
