TrialID19,Animal,Treatment,Age,Sex,WeightGain,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
4a,6565,V,3,M,,9957,25,6300,6,2.422,2.831,0.9762,2.341,2.891,2.315,2.03,2.239
4a,6615,V,3,M,,14721,-12,1000,85,2.942,2.28,1.541,3.035,3.108,3.464,2.552,4.635
4a,6622,V,3,M,,820,94,1000,85,3.112,1.393,1.392,2.058,2.453,2.44,2.067,2.821
4a,6642,V,3,M,,3738,72,600,91,1.996,1.512,1.045,2.31,1.549,2.28,1.816,2.755
4a,6917,V,3,F,,6308,52,2800,58,,1.568,1.141,1.945,2.89,1.896,1.404,1.489
4a,6925,V,3,F,,3118,76,1700,75,1.679,1.547,1.114,2.584,2.356,4.369,2.833,3.326
4a,6937,V,3,F,,5694,57,3350,50,2.783,2.493,1.426,2.184,2.116,3.121,2.944,2.165
4b,6572,V,6,M,,3971,40,0,100,1.728,3.137,1.496,2.562,3.233,2.137,1.724,1.976
4b,6614,V,6,M,,29108,-341,600,55,1.847,1.678,1.265,2.405,2.38,1.944,1.967,3.508
4b,6621,V,6,M,,3905,41,400,70,1.259,1.991,1.16,2.013,1.877,2.15,1.234,1.833
4b,6636,V,6,M,,5110,23,3050,-128,1.651,1.41,1.778,2.422,2.116,1.901,1.866,2.195
4b,6855,V,6,F,,15507,-135,100,93,2.411,2.565,1.639,3.224,2.785,2.072,2.273,5.042
4b,6901,V,6,F,,1158,82,800,40,1.373,2,1.471,1.949,2.721,2.171,2.238,2.808
4b,6916,V,6,F,,3215,51,650,51,3.161,3.295,2.125,1.451,2.552,2.19,2.162,1.843
4b,6927,V,6,F,,2121,68,150,89,2.829,2.972,1.42,3.181,2.447,3.275,2.902,1.85
4b,6576,V,6,M,,2823,65,0,100,1.932,2.73,1.51,1.925,1.889,1.831,1.131,3.743
4b,6647,V,6,M,,1548,81,100,97,,1.764,,8.493,2.141,2.359,8.389,2.454
4b,6652,V,6,M,,5743,29,2250,37,1.761,0.5784,1.373,2.323,1.957,2.069,2.407,2.103
4b,6905,V,6,F,,1491,82,200,94,2.228,3.549,1.735,2.649,2.095,3.008,2.218,1.575
4b,6910,V,6,F,,12287,-51,2150,40,2.022,2.251,1.667,2.669,3,2.57,1.609,1.786
4b,6911,V,6,F,,2365,71,650,82,1.033,2.66,1.109,2.458,1.533,1.533,1.1,1.077
4b,6928,V,6,F,,4087,50,1250,65,2.383,3.273,1.355,1.816,3.191,2.763,2.572,2.028
