Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
2a,661J,Control,5787,-4,5500,12,0.024,0.096,0.01,0.016,0.05,0.011,0.015,0.015
2a,669J,Control,7062,-26,9500,-52,0.04,0.061,0.006,0.01,0.063,0.012,0.011,0.006
2b,642J,Control,16870,-1,5850,-12,0.058,0.339,0.007,0.011,0.063,0.02,0.017,0.009
2b,657J,Control,11770,30,4600,12,0.032,0.048,0.007,0.009,0.058,0.01,0.022,0.016
2b,658J,Control,7016,58,6250,-20,0.028,0.051,0.007,0.009,0.094,0.008,0.013,0.013
2b,659J,Control,14333,14,3200,39,0.037,0.086,0.008,0.013,0.071,0.015,0.016,0.01
2b,662J,Control,15198,9,1200,77,0.066,0.129,0.008,0.013,0.064,0.034,0.019,0.026
2b,671J,Control,23746,-42,5650,-8,0.06,0.213,0.006,0.012,0.07,0.005,0.01,0.012
2b,678J,Control,28156,-68,9800,-88,0.089,0.058,0.012,0.03,0.056,0.01,0.016,0.031
3,3018,Control,6820,42,9500,-188,0.012,0.066,0.006,0.004,0.002,-0.001,0.007,0.005
3,3127,Control,10496,11,2600,21,0.008,0.028,0.005,0.017,0.013,0.007,0.003,0.01
3,3171,Control,12078,-2,4600,-39,0.004,0.102,-0.006,0.006,-0.005,-0.002,-0.003,0
3,3504,Control,16986,-44,4900,-48,0.009,0.063,0.003,0.01,0.008,0.004,0.009,0.012
3,4022,Control,12108,-3,1700,48,0.006,0.014,0.003,0.009,0.003,0.013,0.008,0.009
3,4079,Control,8882,25,1200,64,0.004,0.058,-0.002,-0.002,0.002,-0.007,0,0.015
3,4111,Control,14163,-20,8800,-167,0.018,0.157,0.004,0.013,0.004,0.002,0.005,0.014
3,4112,Control,593,95,0,100,0.01,0.011,0.001,0.007,-0.004,-0.004,0.003,0.006
3,4162,Control,8706,26,0,100,0.062,0.635,0.003,0.009,0.008,0.002,0.006,0.031
3,4171,Control,14949,-27,2500,24,0.009,0.018,0.006,0.013,0.016,0.001,0.006,0.011
3,4181,Control,13056,-11,1600,52,0.001,0.046,-0.007,0.005,0.004,0,0.005,0.004
3,4524,Control,22766,-93,2200,33,0.029,0.064,0.019,0.034,0.023,0.02,0.016,0.035
5,6580,Control,10948,35,3700,70,0.125,0.162,0.073,0.071,0.076,0.077,0.083,0.075
5,6581,Control,14408,14,9500,24,0.135,0.148,0.068,0.069,0.076,0.077,0.085,0.065
5,6608,Control,7268,57,8500,32,0.09,0.102,0.062,0.067,0.073,0.08,0.082,0.066
5,6612,Control,17608,-5,10800,14,0.088,0.146,0.065,0.072,0.073,0.081,0.08,0.069
5,6616,Control,4446,73,3400,73,0.136,0.3,0.064,0.067,0.071,0.078,0.085,0.067
5,6617,Control,27979,-67,18400,-47,0.085,0.106,0.063,0.066,0.067,0.075,0.078,0.062
5,6856,Control,7164,57,10800,14,0.101,0.119,0.072,0.075,0.079,0.085,0.092,0.076
5,6860,Control,35937,-114,29600,-137,0.147,0.407,0.069,0.073,0.08,0.085,0.087,0.072
5,6864,Control,6230,63,8500,32,0.096,0.115,0.069,0.072,0.074,0.086,0.086,0.066
5,6887,Control,22712,-35,17400,-39,0.167,0.181,0.073,0.076,0.076,0.086,0.089,0.079
5,6895,Control,13917,17,12500,0,0.206,0.406,0.075,0.077,0.076,0.082,0.09,0.075
5,6897,Control,32566,-94,17000,-36,0.129,0.203,0.076,0.068,0.074,0.082,0.093,0.067
