Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
2a,661J,Control,5787,-4,5500,12,0.024,0.027,0.032,0.017,0.017,0.009,0.014,0.033
2a,669J,Control,7062,-26,9500,-52,0.025,0.058,0.026,0.013,0.024,0.011,0.01,0.016
2b,642J,Control,16870,-1,5850,-12,0.07,0.031,0.018,0.015,0.043,0.011,0.01,0.013
2b,657J,Control,11770,30,4600,12,0.086,0.074,0.037,0.022,0.031,0.029,0.02,0.023
2b,658J,Control,7016,58,6250,-20,0.036,0.017,0.009,0.007,0.016,0.005,0.005,0.019
2b,659J,Control,14333,14,3200,39,0.034,0.023,0.022,0.017,0.039,0.013,0.018,0.023
2b,662J,Control,15198,9,1200,77,0.082,0.043,0.035,0.011,0.025,0.017,0.011,0.026
2b,671J,Control,23746,-42,5650,-8,0.032,0.144,0.036,0.024,0.026,0.018,0.017,0.025
2b,678J,Control,28156,-68,9800,-88,0.02,0.039,0.06,0.007,0.024,0.031,0.028,0.025
3,3018,Control,6820,42,9500,-188,0.024,0.132,0.007,0.009,0.021,0.029,0.015,0.044
3,3127,Control,10496,11,2600,21,0.063,0.08,0.009,0.008,0.011,0.018,0.007,0.099
3,3171,Control,12078,-2,4600,-39,0.015,0.086,-0.004,0.003,0.024,0.018,0.007,0.024
3,3504,Control,16986,-44,4900,-48,0.002,0.043,0.001,0.002,0.009,0.007,0.007,0.008
3,4022,Control,12108,-3,1700,48,0.007,0.109,0.005,0.01,0.027,0.045,0.011,0.016
3,4079,Control,8882,25,1200,64,0.061,0.364,0.008,0.007,0.018,0.071,0.047,0.037
3,4111,Control,14163,-20,8800,-167,0.033,0.222,0.005,0.005,0.016,0.03,0.03,0.012
3,4112,Control,593,95,0,100,0.028,0.119,0.014,0.002,0.016,0.03,0.013,0.218
3,4162,Control,8706,26,0,100,0.055,0.413,0.02,0.104,0.068,0.071,0.052,0.429
3,4171,Control,14949,-27,2500,24,-0.001,0.001,0,-0.01,-0.002,-0.002,0.008,0.004
3,4181,Control,13056,-11,1600,52,0.011,0.05,0.01,0.004,0.008,0.016,0.016,0.02
3,4524,Control,22766,-93,2200,33,0.564,0.461,0.133,0.068,0.46,0.146,0.088,0.242
5,6580,Control,10948,35,3700,70,0.271,0.179,0.17,0.092,0.088,0.103,0.546,0.157
5,6581,Control,14408,14,9500,24,0.115,0.106,0.072,0.076,0.073,0.091,0.105,0.105
5,6608,Control,7268,57,8500,32,0.634,0.684,0.107,0.097,0.099,0.125,0.167,0.44
5,6612,Control,17608,-5,10800,14,0.15,0.234,0.109,0.087,0.082,0.114,0.149,0.147
5,6616,Control,4446,73,3400,73,0.424,0.61,0.159,0.117,0.103,0.119,0.175,0.829
5,6617,Control,27979,-67,18400,-47,0.081,0.12,0.065,0.071,0.067,0.075,0.09,0.09
5,6856,Control,7164,57,10800,14,0.533,0.609,0.128,0.089,0.092,0.107,0.159,0.4
5,6860,Control,35937,-114,29600,-137,0.746,0.782,0.124,0.144,0.146,0.192,0.495,0.139
5,6864,Control,6230,63,8500,32,0.258,0.435,0.129,0.089,0.088,0.097,0.149,0.145
5,6887,Control,22712,-35,17400,-39,1.229,0.64,0.203,0.082,0.079,0.095,0.134,0.137
5,6895,Control,13917,17,12500,0,0.581,0.384,0.146,0.116,0.096,0.119,0.192,0.677
5,6897,Control,32566,-94,17000,-36,0.349,0.367,0.099,0.085,0.089,0.118,0.228,0.097
